                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.925,                 2.5117,                 2.0692,                 0.0492,                0.22449,                0.02215,                0.00573,                 3.4174,                 5.8315,                 3.6473,                0.00044,                0.00044,                0.00044
                      2,                  1.711,                 2.1399,                 1.9029,                0.07559,                0.22449,                0.04953,                0.01067,                 3.0971,                 8.9018,                 3.5813,             0.00088727,             0.00088727,             0.00088727
                      3,                 1.7297,                 2.1001,                  1.945,                0.01607,                0.15306,                0.00741,                0.00179,                 3.7455,                 212.15,                  40.29,              0.0013215,              0.0013215,              0.0013215
                      4,                 1.7279,                 2.0612,                 1.9483,                0.01038,                0.28571,                0.00561,                0.00134,                 3.6649,                    inf,                 21.684,              0.0017428,              0.0017428,              0.0017428
                      5,                 1.7649,                 2.1433,                 1.9872,                0.15293,                0.36735,                0.13604,                0.03814,                 2.5518,                 18.022,                 3.6072,              0.0018869,              0.0018869,              0.0018869
                      6,                 1.6987,                 2.0409,                  1.918,                 0.0409,                0.04082,                0.01921,                0.00412,                 3.2356,                 11.741,                 4.0499,              0.0018586,              0.0018586,              0.0018586
                      7,                 1.6821,                 2.0416,                 1.9167,                0.10646,                0.21429,                 0.0696,                0.01889,                 2.7178,                 6.8214,                 3.6528,              0.0018303,              0.0018303,              0.0018303
                      8,                 1.6877,                 2.0933,                 1.9076,                0.26367,                0.36735,                0.25755,                0.07648,                 2.4093,                  5.469,                 2.8029,               0.001802,               0.001802,               0.001802
                      9,                 1.6344,                 1.9411,                 1.8574,                0.17628,                0.36687,                0.13082,                0.03757,                 2.4479,                 3.8329,                 2.8033,              0.0017737,              0.0017737,              0.0017737
                     10,                 1.6481,                 1.9329,                 1.8867,                0.15833,                0.33673,                0.12673,                0.03666,                 2.4469,                  3.128,                 2.7581,              0.0017454,              0.0017454,              0.0017454
                     11,                 1.5835,                 1.8768,                  1.837,                0.24472,                0.32653,                0.16898,                 0.0489,                 2.6518,                 4.0474,                 2.9446,              0.0017171,              0.0017171,              0.0017171
                     12,                 1.5748,                 1.8949,                 1.8251,                0.25306,                0.50129,                0.27519,                0.08472,                 2.2699,                  2.371,                 2.5194,              0.0016889,              0.0016889,              0.0016889
                     13,                 1.6183,                 1.8905,                 1.8643,                0.35971,                0.40816,                0.31411,                0.09514,                 2.2918,                  2.194,                 2.5968,              0.0016606,              0.0016606,              0.0016606
